머리가 짖눌러지는 느낌,0
머리가 짖눌러지는,0
머리가 맑지,0
머리가 맑지 않다,0
맑지 않다,0
매일 슬프고 재미없다는 생각,0
매일 슬프고 생각,0
울적하다,0
하루종일 울적하다,0
이유없이 눈물이 많이 난다,0
눈물이 많이 난다,0
이유없이 눈물이 많이,0
많이 난다,0
이유없이 많이 난다,0
며칠이고 하염없이 운다,0
며칠이고 운다,0
몇시간씩 운다,0
눈물이 아무때나 난다,0
아무때나 난다,0
매일 운다,0
너무 외롭다,0
너무,0
쓸쓸하다,0
외로움을 잘,0
외로움을 잘 탄다,0
잘 탄다,0
친구들과 어울리고 집에오면 외롭다,0
친구들과 집에오면 외롭다,0
어울리고 집에오면 외롭다,0
원망스럽다,0
속앓이를 한다,0
속앓이를,0
난다,0
화가 난다,0
참을 없다,0
참을 수 없다,0
수 없다,0
억압하고 살아왔다,0
억압하고,0
늘 내가 느낌,0
늘 참고 지내는 느낌,0
늘 내가 참고 지내는,0
늘 내가 참고 지내는 느낌,0
내가 지내는 느낌,0
늘 내가 지내는 느낌,0
답답하다,0
정말,0
정말 괴롭다,0
화가 치밀어 오르다,0
치밀어 오르다,0
흥이,0
흥이 안난다,0
없다,0
재미가 없다,0
도는 것 같은 일상,0
쳇바퀴 도는 것 같은 일상,0
쳇바퀴 도는 같은 일상,0
사는게 재미가 없다,0
사는게 재미가,0
사는게,0
사는게 힘겹다,0
기운이,0
기운이 빠지다,0
빠지다,0
없다,0
기운이 없다,0
늘 없어보인다,0
늘 기운이 없어보인다,0
기운이 쫙 빠지고,0
기운이 쫙,0
힘들다,0
막연하게,0
막연하게 힘들다,0
간신히 있다,0
간신히 버티고 있다,0
버티고 있다,0
기분이 항상 다운되어있다,0
기분이 다운되어있다,0
가라앉는다,0
기분이,0
기분이 가라앉는다,0
축처진다,0
늘어진다,0
귀찮아서 아무것도,0
귀찮아서 아무것도 못하겠다,0
만사가 귀찮다,0
만사가 다 귀찮다,0
있고만,0
가만히 있고만,0
가만히 있고만 싶다,0
가만히 싶다,0
아무것도 할 수 없고,0
아무것도 할 없고,0
아무 것도 하기 싫다,0
하기 싫다,0
힘이 없다,0
몸에 힘이 없다,0
혼자 생각에 빠져있을 많다,0
혼자 생각에 때가 많다,0
혼자 생각에 빠져있을 때가 많다,0
혼자 생각에 빠져있을 때가,0
생각에 빠져있을 때가 많다,0
혼자 빠져있을 때가 많다,0
거의 말없이,0
거의 말없이 지냈다,0
말없이 지냈다,0
혼잣말을 할 때가,0
혼잣말을 할 때가 있다,0
혼잣말을 할 있다,0
사람을 피하게 된다,0
피하게 된다,0
사람들 많은 곳 가기 싫다,0
사람들 많은 곳 가기,0
사람들 많은 싫다,0
실망스러운 느낌,0
인간관계에 실망스러운,0
인간관계에 실망스러운 느낌,0
다른 사람들과 매우 다른 것 같다,0
내가 다른 사람들과 매우 다른 것 같다,0
내가 사람들과 매우 것 같다,0
내가 다른 사람들과 매우 다른 것,0
내가 다른 사람들과 매우 것 같다,0
다른 사람의 의도를 어렵다,0
사람의 의도를 이해하기 어렵다,0
다른 사람의 이해하기 어렵다,0
다른 사람의 의도를 이해하기 어렵다,0
잘,0
공감도 안된다,0
공감도 잘 안된다,0
공감도 잘,0
의욕이 없다,0
매사에 의욕이,0
매사에 없다,0
매사에 의욕이 없다,0
의욕이 없다,0
매일 의욕이 없다,0
무기력감,0
이유없는 무기력감,0
마음이 무기력하다,0
마음이 무겁고 무기력하다,0
무겁고 무기력하다,0
있게된다,0
집에만 있게된다,0
있고싶다,0
집에만 있고싶다,0
외출을 하지 않는다,0
외출을 거의 하지,0
외출을 거의 하지 않는다,0
거의 않는다,0
싫다,0
외출하기 싫다,0
외출하기,0
거의 한다,0
거의 하루종일 인터넷만 한다,0
거의 하루종일 한다,0
TV보며 누워있다,0
하루종일 누워있다,0
하루종일 TV보며 누워있다,0
하루종일 TV보며,0
혼자 누워있는 것 아무것도 하기 싫다,0
혼자 누워있는 것 외에 아무것도 하기 싫다,0
없다,0
식욕이 없다,0
식욕이,0
위가 아프다,0
위가,0
하루에 끼 먹는다,0
하루에 한 끼,0
하루에 한 끼 먹는다,0
하루에 끼,0
식욕이 감소하여 감소,0
식욕이 감소하여 체중도 감소,0
감소하여 체중도 감소,0
식욕이 감소하여 체중도,0
빠지고 머리카락도 빠졌다,0
체중이 빠지고 많이 빠졌다,0
체중이 머리카락도 많이 빠졌다,0
체중이 빠지고 머리카락도 많이 빠졌다,0
체중이 빠지고 6개월 째 안하는 중,0
체중이 빠지고 생리는 째 안하는 중,0
체중이 빠지고 생리는 6개월 째 안하는 중,0
빠지고 생리는 6개월 째 안하는 중,0
체중이 빠지고 째 안하는 중,0
이유없이 빠지고,0
이유없이 살이 빠지고,0
이유없이 살이,0
살이 빠지고,0
식욕이 너무 없어서 촉진제를,0
너무 없어서 식욕 촉진제를 먹었다,0
식욕이 너무 없어서 식욕 촉진제를 먹었다,0
한끼에 반공기정도,0
반공기정도,0
죽 있다,0
먹고 있다,0
죽 먹고 있다,0
밥을 먹어야 하나 하는 생각이,0
밥을 하나 생각이 든다,0
밥을 먹어야 하나 하는 생각이 든다,0
밥을 먹어야 하는 생각이 든다,0
차려주면 수동적으로,0
차려주면 수동적으로 먹는다,0
모르겠다,0
밥밧을 모르겠다,0
혼자 있으면 거의 안 먹는다 먹고 씹던 음식 버리고 하다가 토하기 시작함,0
혼자 있으면 거의 안 먹는다 먹고 씹던 음식 버리고 토하기 시작함,0
혼자 있으면 거의 먹는다 먹고 씹던 음식 버리고 하다가 시작함,0
혼자 있으면 거의 안 먹는다 먹고 씹던 음식 하다가 토하기 시작함,0
혼자 거의 안 먹는다 씹던 음식 버리고 하다가 토하기 시작함,0
있으면 안 먹는다 먹고 씹던 음식 버리고 하다가 토하기 시작함,0
있으면 거의 안 먹는다 먹고 씹던 음식 버리고 하다가 토하기 시작함,0
보통 하루에 한 토한다,0
보통 한 번씩 토한다,0
보통 하루에 번씩 토한다,0
보통 하루에 한 번씩 토한다,0
갑자기 많이 먹고 토한다,0
괜찮다가도 갑자기 많이 먹고 토한다,0
괜찮다가도 갑자기 많이 먹고,0
예전보다 자꾸 음식이 더 싶어진다,0
예전보다 자꾸 음식이 더 먹고,0
예전보다 음식이 더 먹고 싶어진다,0
자꾸 음식이 먹고 싶어진다,0
예전보다 자꾸 음식이 먹고 싶어진다,0
예전보다 자꾸 음식이 더 먹고 싶어진다,0
예전보다 자꾸 더 먹고 싶어진다,0
허겁지겁,0
허겁지겁 먹는다,0
폭식증이 있다,0
있다,0
기분이 울적하면 식욕과 상관 없이,0
울적하면 식욕과 상관 없이,0
기분이 울적하면 식욕과 상관 없이 폭식,0
기분이 울적하면 식욕과 상관,0
울적하면 식욕과 없이 폭식,0
식욕이 증가한다,0
잔다,0
하루종일 잔다,0
밤에 8-10시간 낮에 4시간 잠을,0
밤에 8-10시간 낮에 잠을,0
8-10시간 낮에 4시간 잠을 잔다,0
밤에 8-10시간 4시간 잠을 잔다,0
밤에 8-10시간 낮에 4시간 잠을 잔다,0
잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지,0
잠은 평소보다 많이 늘었는데 잠을 자고 기분이 좋지 않다,0
평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다,0
잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다,0
잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 않다,0
하루종일 자고,0
싶다,0
하루종일 싶다,0
하루종일 자고 싶다,0
잠만 자고 싶어서 낮에 약을 먹고 15시간 잔다,0
잠만 싶어서 낮에 약을 먹고 15시간 정도 잔다,0
잠만 낮에 약을 하루에 15시간 정도 잔다,0
자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다,0
잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다,0
잠만 자고 싶어서 낮에 약을 먹고 하루에 정도 잔다,0
잠만 자고 싶어서 약을 먹고 하루에 15시간 정도 잔다,0
밤에 4-5시간 잔다,0
밤에 4-5시간 정도 잔다,0
새벽에 일찍 깬다,0
새벽에 깬다,0
피곤하다,0
낮에 피곤하다,0
하루 정도밖에 자지 못한다,0
하루 2-3시간 정도밖에 자지 못한다,0
하루 2-3시간 자지 못한다,0
약 먹고 한두시간 잤는데 아예 잠에 못 들때가 많다,0
약 먹고 한두시간 잤는데 이젠 아예 잠에 못 많다,0
약 먹고 한두시간 잤는데 이젠 아예 잠에 못 들때가,0
약 먹고 한두시간 잤는데 이젠 아예 잠에 못 들때가 많다,0
먹고 한두시간 잤는데 이젠 아예 잠에 못 들때가 많다,0
수면제를 10알 먹어도 이상 수면을 지속하기 어려워,0
수면제를 10알 가량 먹어도 3시간 수면을 지속하기 어려워,0
수면제를 10알 가량 먹어도 이상 수면을 지속하기,0
수면제를 10알 가량 먹어도 이상 수면을 지속하기 어려워,0
